运输方式,路线,价格,环比,日期,价格数值
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2022/6/8,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2022/6/1,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2022/5/25,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2022/5/18,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2022/5/11,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2022/5/4,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2022/4/27,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2022/4/20,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2022/4/13,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2022/2/23,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2022/2/9,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2022/2/2,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2022/1/26,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2022/1/5,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/9/8,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/8/18,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/8/11,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/8/4,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/7/28,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/7/21,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/7/14,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/7/7,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/6/30,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/6/23,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/6/16,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/6/9,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/6/2,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/5/26,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/5/19,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/5/12,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/5/5,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/4/28,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/4/21,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/4/14,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/4/7,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/3/31,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/3/24,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/3/17,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/3/10,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/3/3,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/2/24,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/2/17,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/2/10,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/2/3,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/1/27,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/1/20,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/1/13,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2021/1/6,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/12/30,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/12/23,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/12/9,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/12/9,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/12/2,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/11/25,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/11/18,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/11/11,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/11/4,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/10/28,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/10/21,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/10/14,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/10/7,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/9/30,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/9/23,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/9/16,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/9/9,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/9/2,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/8/26,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/8/19,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/8/12,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/8/5,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/7/29,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/7/22,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/7/15,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/7/8,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/7/8,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/7/1,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/6/24,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/6/17,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/6/10,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/6/3,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/5/27,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/5/20,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/5/13,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/5/6,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/4/29,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/4/22,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/4/15,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/4/8,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/4/1,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/3/25,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/3/18,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/3/11,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/3/4,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/2/26,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/2/19,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/2/12,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/2/5,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/1/29,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/1/22,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/1/15,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/1/8,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2020/1/1,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/12/25,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/12/18,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/12/11,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/12/4,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/11/27,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/11/20,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/11/13,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/11/6,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/10/30,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/10/23,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/10/16,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/10/9,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/10/2,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/9/25,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/9/18,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/9/11,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/9/4,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/8/28,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/8/21,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/8/14,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/8/7,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/7/31,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/7/24,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/7/17,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/7/10,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/7/3,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/6/26,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/6/19,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/6/12,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/6/5,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/5/29,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/5/22,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/5/15,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/5/8,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/5/1,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/4/24,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/4/17,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/4/10,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/4/3,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/3/27,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/3/20,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/3/13,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/3/6,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/2/27,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/2/20,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/2/13,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/2/6,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/1/30,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/1/23,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/1/9,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2019/1/2,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2018/12/26,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2018/12/19,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2018/12/12,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2018/12/5,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2018/11/28,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2018/11/21,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2018/11/14,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2018/11/7,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2018/10/31,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2018/10/24,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2018/10/17,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2018/10/10,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2018/10/3,3830.0
整车运输-9.6,宁波-合肥,3830元/整车,-0.78%,2018/10/3,3830.0
整车运输-9.6,宁波-杭州,3830元/整车,-0.78%,2018/10/3,3830.0
整车运输-9.6,宁波-杭州,1640元/整车,-0.78%,2018/10/3,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2018/10/3,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2024/3/6,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2024/2/28,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2024/2/21,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2024/2/14,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2024/2/7,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2024/1/31,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2024/1/24,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2024/1/17,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2024/1/10,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2024/1/3,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/12/27,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/12/20,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/12/13,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/12/6,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/11/29,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/11/15,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/11/8,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/11/1,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/10/25,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/10/18,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/10/11,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/10/4,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/9/27,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/9/20,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/9/13,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/9/6,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/8/30,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/8/23,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/8/16,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/8/9,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/8/2,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/7/26,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/7/19,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/7/12,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/7/5,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/6/28,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/6/21,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/6/7,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/5/31,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/5/24,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/5/17,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/5/10,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/5/3,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/4/26,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/4/19,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/4/12,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/4/5,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/3/29,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/3/15,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/3/8,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/3/1,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/2/22,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/2/15,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/2/8,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/2/1,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/1/25,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/1/18,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/1/11,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2023/1/4,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/12/28,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/12/14,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/12/7,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/11/23,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/11/16,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/11/9,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/11/2,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/10/26,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/10/19,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/10/12,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/10/5,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/9/28,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/9/21,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/9/7,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/8/31,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/8/24,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/8/17,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/8/3,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/7/27,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/7/20,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/7/13,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/7/6,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/6/29,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/6/22,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/6/15,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/6/8,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/6/1,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/5/25,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/5/18,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/5/11,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/5/4,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/4/27,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/4/20,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/4/13,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/2/23,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/2/9,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/2/2,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/1/26,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2022/1/5,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/9/8,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/8/18,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/8/11,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/8/4,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/7/28,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/7/21,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/7/14,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/7/7,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/6/30,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/6/23,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/6/16,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/6/9,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/6/2,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/5/26,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/5/19,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/5/12,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/5/5,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/4/28,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/4/21,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/4/14,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/4/7,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/3/31,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/3/24,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/3/17,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/3/10,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/3/3,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/2/24,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/2/17,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/2/10,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/2/3,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/1/27,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/1/20,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/1/13,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2021/1/6,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/12/30,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/12/23,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/12/9,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/12/9,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/12/2,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/11/25,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/11/18,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/11/11,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/11/4,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/10/28,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/10/21,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/10/14,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/10/7,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/9/30,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/9/23,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/9/16,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/9/9,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/9/2,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/8/26,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/8/19,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/8/12,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/8/5,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/7/29,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/7/22,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/7/15,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/7/8,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/7/8,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/7/1,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/6/24,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/6/17,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/6/10,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/6/3,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/5/27,1640.0
整车运输-9.6,宁波-杭州,1640元/整车,0.68%,2020/5/20,1640.0
